Security,Symbol,Shared GICS Sector,Ticks,Shared GICS Sub-Ind.,Ticks,GICS Sector,GICS Sub-Industry,Date first added,Headquarters Location,SEC filings,CIK,Founded
Equity Residential,EQR,,,,,Real Estate,Residential REITs,2001-12-03,"Chicago, Illinois",reports,906107,1969
Essex,ESS,,,,,Real Estate,Residential REITs,2014-04-02,"San Mateo, California",reports,920522,1971
Mid-America Apartments,MAA,,,,,Real Estate,Residential REITs,2016-12-02,"Memphis, Tennessee",reports,912595,1977
UDR,UDR,,,Residential REITs,,Real Estate,Residential REITs,2016-03-07,"Highlands Ranch, Colorado",reports,74208,1972
Federal Realty,FRT,,,,,Real Estate,Retail REITs,2016-02-01,"Rockville, Maryland",reports,34903,1962
Kimco Realty,KIM,,,,,Real Estate,Retail REITs,2006-04-04,"New Hyde Park, New York",reports,879101,1958
Realty Income,O,,,,,Real Estate,Retail REITs,2015-04-07,"San Diego, California",reports,726728,1969
Regency Centers,REG,,,,,Real Estate,Retail REITs,2017-03-02,"Jacksonville, Florida",reports,910606,1963
Simon,SPG,,,Retail REITs,,Real Estate,Retail REITs,2002-06-26,"Indianapolis, Indiana",reports,1063761,2003
American Tower,AMT,,,,,Real Estate,Specialized REITs,2007-11-19,"Boston, Massachusetts",reports,1053507,1995
Crown Castle,CCI,,,,,Real Estate,Specialized REITs,2012-03-14,"Houston, Texas",reports,1051470,1994
Digital Realty,DLR,,,,,Real Estate,Specialized REITs,2016-05-18,"Austin, Texas",reports,1297996,2004
Equinix,EQIX,,,,,Real Estate,Specialized REITs,2015-03-20,"Redwood City, California",reports,1101239,1998
Extra Space Storage,EXR,,,,,Real Estate,Specialized REITs,2016-01-19,"Salt Lake City, Utah",reports,1289490,1977
Iron Mountain,IRM,,,,,Real Estate,Specialized REITs,2009-01-06,"Boston, Massachusetts",reports,1020569,1951
Public Storage,PSA,,,,,Real Estate,Specialized REITs,2005-08-19,"Glendale, California",reports,1393311,1972
SBA Communications,SBAC,,,,,Real Estate,Specialized REITs,2017-09-01,"Boca Raton, Florida",reports,1034054,1989
Weyerhaeuser,WY,Real Estate,,Specialized REITs,,Real Estate,Specialized REITs,,"Seattle, Washington",reports,106535,1900
Alliant Energy,LNT,,,,,Utilities,Electric Utilities,2016-07-01,"Madison, Wisconsin",reports,352541,1917
American Electric Power,AEP,,,,,Utilities,Electric Utilities,1957-03-04,"Columbus, Ohio",reports,4904,1906
Con Edison,ED,,,,,Utilities,Electric Utilities,,"New York City, New York",reports,1047862,1823
Dominion Energy,D,,,,,Utilities,Electric Utilities,,"Richmond, Virginia",reports,715957,1983
Duke Energy,DUK,,,,,Utilities,Electric Utilities,1976-06-30,"Charlotte, North Carolina",reports,1326160,1904
Edison International,EIX,,,,,Utilities,Electric Utilities,1957-03-04,"Rosemead, California",reports,827052,1886
Entergy,ETR,,,,,Utilities,Electric Utilities,1957-03-04,"New Orleans, Louisiana",reports,65984,1913
Evergy,EVRG,,,,,Utilities,Electric Utilities,2018-06-05,"Kansas City, Missouri",reports,1711269,1909
FirstEnergy,FE,,,,,Utilities,Electric Utilities,,"Akron, Ohio",reports,1031296,1997
PPL,PPL,,,,,Utilities,Electric Utilities,,"Allentown, Pennsylvania",reports,922224,1920
PSEG,PEG,,,,,Utilities,Electric Utilities,1957-03-04,"Newark, New Jersey",reports,788784,1903
Southern Company,SO,,,,,Utilities,Electric Utilities,1957-03-04,"Atlanta, Georgia",reports,92122,1945
WEC Energy Group,WEC,,,Electric Utilities,,Utilities,Electric Utilities,2008-10-31,"Milwaukee, Wisconsin",reports,783325,1896
Atmos Energy,ATO,,,Gas Utilities,,Utilities,Gas Utilities,2019-02-15,"Dallas, Texas",reports,731802,1906
AES,AES,,,,,Utilities,Independent Power Producers & Energy Traders,1998-10-02,"Arlington, Virginia",reports,874761,1981
NRG Energy,NRG,,,Independent Power Producers & Energy Traders,,Utilities,Independent Power Producers & Energy Traders,2010-01-29,"Houston, Texas",reports,1013871,1992
Ameren,AEE,,,,,Utilities,Multi-Utilities,1991-09-19,"St. Louis, Missouri",reports,1002910,1902
CenterPoint Energy,CNP,,,,,Utilities,Multi-Utilities,1985-07-31,"Houston, Texas",reports,1130310,1882
CMS Energy,CMS,,,,,Utilities,Multi-Utilities,1999-05-03,"Jackson, Michigan",reports,811156,1886
Constellation Energy,CEG,,,,,Utilities,Multi-Utilities,2022-02-02,"Baltimore, Maryland",reports,1868275,1999
DTE,DTE,,,,,Utilities,Multi-Utilities,1957-03-04,"Detroit, Michigan",reports,936340,1995
Eversource,ES,,,,,Utilities,Multi-Utilities,2009,"Hartford, Connecticut",reports,72741,1966
Exelon,EXC,,,,,Utilities,Multi-Utilities,1957-03-04,"Chicago, Illinois",reports,1109357,2000
NextEra Energy,NEE,,,,,Utilities,Multi-Utilities,1976-06-30,"Juno Beach, Florida",reports,753308,1984 (1925)
NiSource,NI,,,,,Utilities,Multi-Utilities,,"Merrillville, Indiana",reports,1111711,1912
Pinnacle West,PNW,,,,,Utilities,Multi-Utilities,,"Phoenix, Arizona",reports,764622,1985
Sempra Energy,SRE,,,,,Utilities,Multi-Utilities,,"San Diego, California",reports,1032208,1998
Xcel Energy,XEL,,,Multi-Utilities,,Utilities,Multi-Utilities,1957-03-04,"Minneapolis, Minnesota",reports,72903,1909
American Water,AWK,Utilities,,Water Utilities,,Utilities,Water Utilities,2016-03-04,"Camden, New Jersey",reports,1410636,1886
